,-9.6493,-14.9741,0.0002,-15
1770662049,0.7682,10.5823,0.0006,10
1770662050,0.5066,9.9279,0.0006,10
1770662050,0.317,10.3088,0.0012,10
1770662051,-0.0296,9.6534,0.0004,10
1770662052,0.1208,9.7457,0,10
1770662053,0.0358,9.4987,0.0007,10
1770662053,-0.0689,10.2096,0.0009,10
1770662054,-0.0623,9.772,0.0001,10
1770662055,-0.0623,10.1239,0.0019,10
1770662056,0.2058,9.431,0.001,10
1770662056,0.5393,9.8404,0.0016,10
1770662057,0.8401,9.5259,0.002,10
1770662058,0.9252,9.8809,0.0009,10
1770662059,1.0886,10.3997,0.0008,10
1770662059,0.9579,9.9108,0,10
1770662060,0.9644,10.0847,0.0001,10
1770662061,0.9186,10.0459,0.0004,10
1770662061,0.9186,10.4282,0.0007,10
1770662062,0.9513,10.5243,0.001,10
1770662063,0.9709,9.7687,0.0006,10
1770662064,0.9709,9.7919,0,10
1770662064,0.9317,9.9209,0.0006,10
1770662065,0.8925,9.9201,0.0003,10
1770662066,0.8925,9.9955,0,10
1770662067,0.8598,10.3171,0.0005,10
1770662067,0.5916,10.3214,0.0005,10
1770662068,-0.6051,9.9208,0.0001,10
1770662069,0.742,9.9092,0.0002,10
1770662070,0.8598,9.7766,0.0002,10
1770662070,0.9971,9.959,0.0003,10
1770662071,1.069,10.0001,0.0002,10
1770662072,1.0559,9.998,0.0006,10
1770662072,1.0232,9.904,0.0001,10
1770662073,1.0102,10.056,0,10
1770662074,1.1017,9.63,0.0008,10
1770662075,1.154,10.1136,0.0004,10
1770662076,1.1933,9.5734,0.001,10
1770662076,1.1475,9.5611,0.0018,10
1770662077,1.141,10.0907,0.0008,10
1770662078,1.2194,10.3297,0.0026,10
1770662078,1.1998,10.4779,0.0028,10
1770662079,1.0429,10.1939,0.0009,10
1770662080,1.1802,9.9732,0.0011,10
1770662081,0.9513,10.3049,0.0004,10
1770662081,0.9579,9.3548,0.0006,10
1770662082,1.0363,9.9385,0.0002,10
1770662083,1.0886,9.7979,0.0005,10
1770662084,1.141,9.8168,0.0009,10
1770662084,1.2194,9.8973,0.0006,10
1770662085,1.2456,9.8715,0.0005,10
1770662086,1.2783,10.2227,0.0001,10
1770662087,1.2848,9.7716,0.0003,10
1770662087,1.1933,9.7077,0.0007,10
1770662088,1.3306,9.7364,0.0016,10
1770662089,1.3306,9.7965,0.0001,10
1770662089,1.2521,9.8534,0.0009,10
1770662090,1.2325,10.1003,0.0009,10
1770662091,1.2064,10.155,0.0017,10
1770662092,1.1737,10.2276,0.0032,10
1770662092,1.1083,9.9179,0.0007,10
1770662093,1.1344,10.0283,0.0002,10
1770662094,0.7878,10.1605,0.0024,10
1770662095,-1.4683,10.1848,0.0004,10
1770662095,0.3497,11.5711,0.0006,10
1770662096,0.4608,9.5921,0.0002,10
1770662097,0.6505,9.8366,0.0007,10
1770662097,0.5655,10.0639,0.0006,10
1770662098,0.5524,10.5599,0.0018,10
1770662099,0.5982,9.5451,0.0015,10
1770662100,0.6701,9.7627,0.0004,10
1770662100,0.644,10.462,0.0005,10
1770662101,0.7355,9.6541,0.0006,10
1770662102,0.7551,9.5523,0.0022,10
1770662103,0.7028,9.8103,0.0002,10
1770662103,0.6636,10.263,0.0002,10
1770662104,0.729,9.4678,0.0012,10
1770662105,0.6113,10.5289,0.0023,10
1770662106,0.5328,10.0699,0.0013,10
1770662106,0.2189,9.971,0,10
1770662107,0.147,10.4287,0.0009,10
1770662108,0.1731,10.2305,0.0004,10
1770662109,0.3693,9.8024,0.001,10
1770662109,0.572,9.4397,0.0009,10
1770662110,0.7094,11.2078,0.0017,10
1770662111,0.814,9.8561,0.0009,10
1770662111,0.8925,10.009,0.0003,10
1770662112,0.9186,9.6096,0.0003,10
1770662113,0.9448,9.6487,0.0001,10
1770662114,0.8859,9.4855,0.0013,10
1770662114,0.984,10.0761,0.0007,10
1770662115,0.9121,9.4222,0.0004,10
1770662116,0.9448,9.6931,0.001,10
1770662117,0.8467,9.4136,0.0017,10
1770662117,0.7094,10.0629,0.001,10
1770662118,0.8532,9.5302,0.0013,10
1770662119,0.7551,10.2293,0.0014,10
1770662120,0.5982,10.2342,0.0017,10
1770662120,0.6701,9.8632,0.0012,10
1770662121,0.6178,9.9652,0.0017,10
1770662122,0.4543,10.2401,0.001,10
1770662122,0.5524,10.1585,0.0014,10
1770662123,0.4805,9.4358,0.0008,10
1770662124,0.5132,9.6083,0.0009,10
1770662125,0.1535,10.106,0.0004,10
1770662125,0.3104,9.9763,0.0009,10
1770662126,0.5066,9.9422,0.0002,10
1770662127,0.6505,9.59,0.0002,10
1770662128,0.6505,10.1142,0.0003,10
1770662128,0.7355,10.3149,0.0014,10
1770662129,0.7617,9.8924,0.0003,10
1770662130,0.7551,10.0679,0.0002,10
1770662131,0.8401,10.107,0.0011,10
1770662131,0.8271,10.1554,0.0016,10
1770662132,0.8271,10.0465,0.0007,10
1770662133,0.5786,9.8504,0.0005,10
1770662134,0.3824,10.3256,0.001,10
1770662134,0.2974,9.8635,0.0009,10
1770662135,0.6897,10.2349,0.0013,10
1770662136,0.8467,10.1477,0.0008,10
1770662137,0.8598,10.184,0.0006,10
1770662138,0.6832,9.9226,0.0002,10
1770662138,0.0423,9.7568,0.0001,10
1770662139,0.1208,10.1321,0.0014,10
1770662140,0.0881,10.1652,0.001,10
1770662140,0.0162,9.8204,0.0002,10
1770662141,0.5262,10.5104,0.0028,10
1770662142,0.5066,10.0686,0.0002,10
1770662143,0.5066,10.1119,0.0002,10
1770662143,1.7361,-0.2542,0.011,0
1770662144,9.7274,0.2135,0.0001,0
1770662145,9.7012,-4.8495,0.0007,-5
1770662146,9.747,-4.8306,0.0005,-5
1770662146,9.7012,-4.9442,0.0093,0
1770662147,9.7666,0.2298,0.0035,0
1770662148,9.7208,-0.1768,0.001,0
1770662148,1.9911,10.021,0.0001,10
1770662149,-2.5343,10.5467,0.0004,10
1770662150,-2.7958,9.7347,0.0015,10
1770662151,-2.3577,10.2064,0.0014,10
1770662151,-1.9784,10.9271,0.0012,10
1770662152,-2.4754,11.0899,0.0012,10
1770662153,-2.6389,8.8683,0.0032,10
1770662154,-2.4166,8.8052,0.0049,10
1770662154,-2.7762,9.6915,0.0009,10
1770662155,-2.7958,9.3777,0.0039,10
1770662156,-2.7566,11.552,0.0011,10
1770662157,-2.4819,10.4717,0.0014,10
1770662157,-2.9136,8.9943,0.0001,10
1770662158,-2.979,9.6279,0.0016,10
1770662159,-2.58,10.0819,0.0016,10
1770662159,-2.7108,9.8927,0.001,10
1770662160,-2.0569,10.1007,0.0005,10
1770662161,-1.8476,10.3346,0.0007,10
1770662162,-1.8607,9.6515,0.0006,10
1770662162,-2.6258,9.9247,0.0008,10
1770662163,-2.4754,10.0788,0.0001,10
1770662164,-2.8482,10.4551,0.0003,10
1770662165,-2.7501,10.3374,0.0005,10
1770662165,-2.2923,8.9184,0.0002,10
1770662166,-2.5931,10.2598,0.0038,10
1770662167,-2.9136,10.0905,0.001,10
1770662167,-2.8678,9.9366,0.0009,10
1770662168,-2.7958,10.2161,0,10
1770662169,-1.8541,9.904,0.0008,10
1770662170,-1.7103,9.8781,0.0007,10
1770662170,-2.2531,10.8915,0.0002,10
1770662171,-2.9855,9.7737,0,10
1770662172,-2.979,9.4922,0.0024,10
1770662173,-2.8547,10.2978,0.0008,10
1770662173,-2.5016,10.043,0.0018,10
1770662174,-3.064,10.5084,0.0007,10
1770662175,-3.3255,9.679,0.0006,10
1770662175,-3.2536,9.8854,0.0009,10
1770662176,-1.9915,10.1878,0.0002,10
1770662177,-1.8934,10.1161,0.0001,10
1770662178,-2.8743,9.521,0.0007,10
1770662178,-3.4171,9.998,0.0017,10
1770662179,-3.4825,9.9949,0.0011,10
1770662180,-2.9463,6.7926,0.0013,10
